"","Placement","Player","Country","Points","Deck","tournament","Pokemon1","Pokemon2"
"735",102,"Jinhiko","Philippines","18","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"736",103,"lukinha","Brazil","18","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"737",104,"amko_ex","Indonesia","18","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"738",105,"ccw0528","Taiwan","18","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"739",106,"tcgcthulhu","United States","18","Arbok Weezing","legendsleague6","Arbok","Weezing"
"740",107,"Davis8899","Taiwan","18","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"741",108,"Thiheen","Brazil","18","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"742",109,"DownAirOnly","United States","18","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"743",110,"Ukato","Brazil","18","Articuno ex Starmie ex","legendsleague6","Articuno ex","Starmie ex"
"744",111,"Arci","Unknown","18","Muk Weezing","legendsleague6","Muk","Weezing"
"745",112,"weago611032","Taiwan","18","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"746",113,"ZZZ","Taiwan","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"747",114,"Krohnos","United States","15","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"748",115,"SKY_SkyWolf93","Ecuador","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"749",116,"AnaLystX","Indonesia","15","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"750",117,"Alo","France","15","Blastoise ex","legendsleague6","Blastoise","ex"
"751",118,"MrPangestu","Indonesia","15","Bisharp Melmetal","legendsleague6","Bisharp","Melmetal"
"752",119,"Nikkiboy","United States","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"753",120,"Ba11isticmonkey","United States","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"754",121,"airya","Brazil","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"755",122,"Yawnro","United States","15","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"756",123,"KS T","Singapore","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"757",124,"EDDY_LOKOBR","Brazil","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"758",125,"Zeville","Unknown","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"759",126,"haito","Unknown","15","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"760",127,"Charmee","Italy","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"761",128,"Mignon","Thailand","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"762",129,"Beast24","India","15","Pikachu ex Heliolisk","legendsleague6","Pikachu ex","Heliolisk"
"763",130,"poyo","Japan","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"764",131,"click1014","Canada","15","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"765",132,"rarepls","Isle of Man","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"766",133,"Azul","Indonesia","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"767",134,"YOH","Brazil","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"768",135,"Nonoob","Malaysia","15","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"769",136,"jk650","United States","15","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"770",137,"Francisco G","Argentina","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"771",138,"ReunKyo","Korea","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"772",139,"Tonkatsu","Japan","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"773",140,"volinator","Colombia","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"774",141,"victini_id","Indonesia","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"775",142,"Skydown","Brazil","15","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"776",143,"Firsty","Brazil","15","Heliolisk Zebstrika","legendsleague6","Heliolisk","Zebstrika"
"777",144,"Kiddoz","Indonesia","15","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"778",145,"Tawmpy","United States","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"779",146,"chaewonn","Argentina","15","Articuno ex Starmie ex","legendsleague6","Articuno ex","Starmie ex"
"780",147,"kwn_dhyn","Unknown","15","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"781",148,"syr","Unknown","15","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"782",149,"davenznk","United States","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"783",150,"tl_spruce","Unknown","15","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"784",151,"PonyPlz","Chile","15","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"785",152,"SlashBurner","Canada","15","Articuno ex Starmie ex","legendsleague6","Articuno ex","Starmie ex"
"786",153,"Ridho Botutihe","Indonesia","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"787",154,"joybringer","United States","15","Articuno ex Lapras ex","legendsleague6","Articuno ex","Lapras ex"
"788",155,"fell","Brazil","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"789",156,"PkmnTrainerJoey","United States","15","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"790",157,"Uhhh_Oranges","Unknown","15","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"791",158,"Kamavolt","Puerto Rico","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"792",159,"highlight","United States","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"793",160,"Reppulsor","Brazil","15","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"794",161,"dede495","Brazil","15","Dragonite Frosmoth","legendsleague6","Dragonite","Frosmoth"
"795",162,"CardboardCabin","United States","15","Articuno ex Frosmoth","legendsleague6","Articuno ex","Frosmoth"
"796",163,"Helzen","Brazil","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"797",164,"Netwolf","Brazil","15","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"798",165,"Khalzan","Brazil","13","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"799",166,"sebi1205","Germany","13","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"800",167,"Pingu_Tsai","Taiwan","12","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"801",168,"greenphyrexia","Unknown","12","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"802",169,"Hazelnut","Indonesia","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"803",170,"leomc","Brazil","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"804",171,"savg1000","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"805",172,"torfus","United States","12","Farfetch'd Gardevoir","legendsleague6","Farfetch'd","Farfetch'Gardevoir"
"806",173,"yejun0415","Korea","12","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"807",174,"maims123","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"808",175,"NE","Unknown","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"809",176,"Red undefined","Thailand","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"810",177,"healer04z","Thailand","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"811",178,"Vinicin","Brazil","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"812",179,"ThisisChris","Austria","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"813",180,"Embraced","United States","12","Exeggutor ex Butterfree","legendsleague6","Exeggutor ex","Butterfree"
"814",181,"Lee27","Brazil","12","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"815",182,"RuthlessRedge","Great Britain","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"816",183,"minwoo01","Korea","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"817",184,"FreckZ","United States","12","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"818",185,"Marslapeuf","France","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"819",186,"kiiiichi08","Japan","12","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"820",187,"Neutranika","Italy","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"821",188,"locowaffl3","Chile","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"822",189,"porksandwich","Canada","12","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"823",190,"Bodaum22","Brazil","12","Primeape Sandslash","legendsleague6","Primeape","Sandslash"
"824",191,"beyond","Canada","12","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"825",192,"blwxbexry","United States","12","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"826",193,"CuteMeow","Thailand","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"827",194,"Warden06","Peru","12","Articuno ex","legendsleague6","Articuno","ex"
"828",195,"Yoonie","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"829",196,"Tuelhossauro","Brazil","12","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"830",197,"mudfish01","Croatia","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"831",198,"Polyd","Spain","12","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"832",199,"JeffHoogland","United States","12","Charizard ex Rapidash","legendsleague6","Charizard ex","Rapidash"
"833",200,"EcoPaul","France","12","Muk Weezing","legendsleague6","Muk","Weezing"
"834",201,"Sigphale","Indonesia","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"835",202,"inserthf","United States","12","Zapdos ex Electrode","legendsleague6","Zapdos ex","Electrode"
"836",203,"KH3PRI","United States","12","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"837",204,"Blessah","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"838",205,"okama_yo","Japan","12","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"839",206,"Blak0u","Brazil","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"840",207,"pateke16","Mexico","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"841",208,"Ishaan","India","12","Lapras ex Wigglytuff ex","legendsleague6","Lapras ex","Wigglytuff ex"
"842",209,"I4RU","Japan","12","Gengar ex Greninja","legendsleague6","Gengar ex","Greninja"
"843",210,"RAISO","Thailand","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"844",211,"dencoledota","Philippines","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"845",212,"Xec","Malaysia","12","Dragonite Weezing","legendsleague6","Dragonite","Weezing"
"846",213,"Glam0urtv","Greece","12","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"847",214,"Masttah","Brazil","12","Charizard ex Pidgeot","legendsleague6","Charizard ex","Pidgeot"
"848",215,"Chuggle729","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"849",216,"breeban","United States","12","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"850",217,"Lucaszd","Brazil","12","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"851",218,"Bintangbww","Indonesia","12","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"852",219,"YT_YoshGaming","Indonesia","12","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"853",220,"OnlyOne","Unknown","12","Articuno ex Zapdos ex","legendsleague6","Articuno ex","Zapdos ex"
"854",221,"Rat_Guy","United States","10","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"855",222,"Bonez","Canada","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"856",223,"rean2019","Unknown","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"857",224,"theg35","France","9","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"858",225,"Brandon J","United States","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"859",226,"Shirotori","Germany","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"860",227,"pikapikachu1989","United States","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"861",228,"nader .","Brazil","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"862",229,"Viniciusmesiano","Brazil","9","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"863",230,"JGS","Brazil","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"864",231,"akupastimenang","Indonesia","9","Dragonite Weezing","legendsleague6","Dragonite","Weezing"
"865",232,"Ireplayscards","Canada","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"866",233,"SungDae","Korea","9","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"867",234,"Alloutblitzle","United States","9","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"868",235,"UItraVegito","Unknown","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"869",236,"Evster","United States","9","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"870",237,"Coreia","Brazil","9","Marowak ex Primeape","legendsleague6","Marowak ex","Primeape"
"871",238,"dydy","France","9","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"872",239,"bzkfoox","Brazil","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"873",240,"BigPlanet26","France","9","Pikachu ex","legendsleague6","Pikachu","ex"
"874",241,"Kingfnfr","United States","9","Moltres ex Charizard","legendsleague6","Moltres ex","Charizard"
"875",242,"Tuajedka","Thailand","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"876",243,"121Eggy","New Zealand","9","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"877",244,"Vulca13","France","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"878",245,"ksunfr","United States","9","Muk Weezing","legendsleague6","Muk","Weezing"
"879",246,"KIIUBERT_TV","Ecuador","9","Muk Weezing","legendsleague6","Muk","Weezing"
"880",247,"Wienze","Indonesia","9","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"881",248,"InfernalMajest666","Unknown","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"882",249,"Maz","Unknown","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"883",250,"Harus","Brazil","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"884",251,"Kikigor","Unknown","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"885",252,"Curupira","Brazil","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"886",253,"Hostile","United States","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"887",254,"Tonezy","United States","9","Alakazam Weezing","legendsleague6","Alakazam","Weezing"
"888",255,"Ryugamine22","Brazil","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"889",256,"SonicF","Colombia","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"890",257,"shovelclaws","United States","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"891",258,"Juniorfrmos","Brazil","9","Articuno ex Starmie ex","legendsleague6","Articuno ex","Starmie ex"
"892",259,"nonipple","Unknown","9","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"893",260,"Leoner","Unknown","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"894",261,"ZAKI","Unknown","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"895",262,"1Clink","Chile","9","Articuno ex Greninja","legendsleague6","Articuno ex","Greninja"
"896",263,"zeroox","Indonesia","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"897",264,"pedrosantos","Brazil","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"898",265,"alejandritorneitos","Spain","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"899",266,"PANCA","Indonesia","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"900",267,"tylerwsurface","Unknown","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"901",268,"Zdefornite","Spain","9","Marowak ex Marowak","legendsleague6","Marowak ex","Marowak"
"902",269,"DarKingBR","Brazil","9","Muk Weezing","legendsleague6","Muk","Weezing"
"903",270,"DonperiPrime","Unknown","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"904",271,"GadgetBug","Brazil","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"905",272,"EchuAlaketu115","Mexico","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"906",273,"wood0311","Korea","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"907",274,"Comatosis","Brazil","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"908",275,"Vindra","Indonesia","9","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"909",276,"ileum","Korea","9","Arcanine ex Rapidash","legendsleague6","Arcanine ex","Rapidash"
"910",277,"Elwood","Singapore","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"911",278,"MaquinaGLS","Brazil","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"912",279,"chicknnn","Unknown","9","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"913",280,"Yuiitwitch","Spain","9","Articuno Dragonite","legendsleague6","Articuno","Dragonite"
"914",281,"PeachSLP","Thailand","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"915",282,"KennyeSpring","United States","9","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"916",283,"Racsoh","Spain","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"917",284,"Justin0405","Germany","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"918",285,"misono","Japan","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"919",286,"zenovyx","Indonesia","9","Pikachu ex","legendsleague6","Pikachu","ex"
"920",287,"Ryzeoverrun","Australia","9","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"921",288,"Savsmks","United States","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"922",289,"Kirusha","Ukraine","9","Articuno ex Greninja","legendsleague6","Articuno ex","Greninja"
"923",290,"Beer","Brazil","9","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"924",291,"Hiro016","Unknown","9","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"925",292,"Mozer","Brazil","9","Articuno ex","legendsleague6","Articuno","ex"
"926",293,"umarfc2021","United States","9","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"927",294,"Hollace","United States","9","Gengar ex Gardevoir","legendsleague6","Gengar ex","Gardevoir"
"928",295,"bankfastlive","Thailand","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"929",296,"Pocket_Deuces","Unknown","6","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"930",297,"Kherin Calderón","Guatemala","6","Marowak ex Sandslash","legendsleague6","Marowak ex","Sandslash"
"931",298,"onomimono","Japan","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"932",299,"jayflackoz","United States","6","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"933",300,"Kazuma","Indonesia","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"934",301,"BringBack1996","United States","6","Marowak ex Dugtrio","legendsleague6","Marowak ex","Dugtrio"
"935",302,"AnimatedEagle","United States","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"936",303,"sahbrant1","Unknown","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"937",304,"fjan","Korea","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"938",305,"Theokeles","Spain","6","Lapras ex Starmie ex","legendsleague6","Lapras ex","Starmie ex"
"939",306,"DrGrindal","Unknown","6","Charizard ex Rapidash","legendsleague6","Charizard ex","Rapidash"
"940",307,"maxacolletti","United States","6","Arbok Pidgeot","legendsleague6","Arbok","Pidgeot"
"941",308,"Cumma","United States","6","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"942",309,"Gengar47","United States","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"943",310,"Tandi","Indonesia","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"944",311,"Fauros","Unknown","6","Dragonite Weezing","legendsleague6","Dragonite","Weezing"
"945",312,"kaesus","Unknown","6","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"946",313,"ENDYZIN","Brazil","6","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"947",314,"Maverick6744","United States","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"948",315,"pampe","Korea","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"949",316,"Pyronotic","United States","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"950",317,"migi","Unknown","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"951",318,"isparki","Unknown","6","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"952",319,"Tenya","Taiwan","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"953",320,"kamille","Japan","6","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"954",321,"belmont","Brazil","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"955",322,"mrbradi","France","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"956",323,"Greensan","Indonesia","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"957",324,"SwansonSays","United States","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"958",325,"Mogumi","Japan","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"959",326,"Charles970327","Taiwan","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"960",327,"James Arnold","United States","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"961",328,"Ch3ckmate","Unknown","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"962",329,"RickyTicky","United States","6","Jolteon Magneton","legendsleague6","Jolteon","Magneton"
"963",330,"Matheus Silva","Brazil","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"964",331,"kingiocs","Unknown","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"965",332,"JJH","United States","6","Pikachu ex Jolteon","legendsleague6","Pikachu ex","Jolteon"
"966",333,"Feeling4","Indonesia","6","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"967",334,"Crein","Korea","6","Articuno ex Greninja","legendsleague6","Articuno ex","Greninja"
"968",335,"Masterzero","Vietnam","6","Frosmoth Greninja","legendsleague6","Frosmoth","Greninja"
"969",336,"Hvitserk","Chile","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"970",337,"yaritan","Colombia","6","Alakazam Weezing","legendsleague6","Alakazam","Weezing"
"971",338,"An1m4l","Colombia","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"972",339,"ShadoHound","Unknown","6","Charizard ex Moltres ex","legendsleague6","Charizard ex","Moltres ex"
"973",340,"Fernan","Brazil","6","Lapras ex Greninja","legendsleague6","Lapras ex","Greninja"
"974",341,"soosh","Unknown","6","Starmie ex Greninja","legendsleague6","Starmie ex","Greninja"
"975",342,"L1G3R","Thailand","6","Ninetales Rapidash","legendsleague6","Ninetales","Rapidash"
"976",343,"nonoahah","Unknown","6","Mewtwo ex Gardevoir","legendsleague6","Mewtwo ex","Gardevoir"
"977",344,"Myungjoon Kim","Korea","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"978",345,"qusofia1233","Unknown","6","Moltres ex Centiskorch","legendsleague6","Moltres ex","Centiskorch"
"979",346,"Hedy","Korea","6","Wigglytuff ex Weezing","legendsleague6","Wigglytuff ex","Weezing"
"980",347,"BlizzardSn0w","Germany","6","Marowak ex Marowak","legendsleague6","Marowak ex","Marowak"
"981",348,"spacepants","Spain","6","Exeggutor ex Venusaur ex","legendsleague6","Exeggutor ex","Venusaur ex"
"982",349,"Zh0ngli","Italy","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"983",350,"iyosz","Indonesia","6","Dragonite Pidgeot","legendsleague6","Dragonite","Pidgeot"
"984",351,"HeLoDe","Brazil","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
"985",352,"LostTANAKA","Japan","6","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"986",353,"Pela","Argentina","6","Dragonite Weezing","legendsleague6","Dragonite","Weezing"
"987",354,"KDusty","Great Britain","6","Alakazam Weezing","legendsleague6","Alakazam","Weezing"
"988",355,"Lockomotif1","Indonesia","6","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"989",356,"ElvisTek","Spain","6","Arbok Weezing","legendsleague6","Arbok","Weezing"
"990",357,"nuti","United States","6","Pikachu ex Zapdos ex","legendsleague6","Pikachu ex","Zapdos ex"
"991",358,"kn0w","Unknown","6","Dragonite Jolteon","legendsleague6","Dragonite","Jolteon"
"992",359,"bib","Unknown","6","Pikachu ex Raichu","legendsleague6","Pikachu ex","Raichu"
"993",360,"Knoka1","Unknown","6","Pikachu ex Electrode","legendsleague6","Pikachu ex","Electrode"
"994",361,"zellious","Singapore","6","Pikachu ex Zebstrika","legendsleague6","Pikachu ex","Zebstrika"
