"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"5891","MiniLordesushi","3","LOSS","Daddycheeks",NA,"2-3-0drop","Articuno ex","Starmie ex Greninja","blueditto"
"5901","MiniLordesushi","2","WIN","Deryl2010",NA,"0-6-0drop","Articuno ex","Articuno ex Farfetch'd","blueditto"
"5921","Lulu","5","LOSS","KS T",NA,"4-2-1drop","Mewtwo ex Gardevoir","Starmie ex Greninja","blueditto"
"5931","Lulu","4","LOSS","Cello",NA,"6-3-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","blueditto"
"5941","Lulu","3","LOSS","MaquinaGLS",NA,"7-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"5951","Lulu","2","WIN","derekroy1992",NA,"11-2-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","blueditto"
"5961","Lulu","1","WIN","Henry M",NA,"0-1-0drop","Mewtwo ex Gardevoir","Charizard ex Charizard","blueditto"
"5971","Maneta","7","LOSS","xCosmicNova",NA,"5-4-0","Mewtwo ex Gardevoir","Articuno ex Greninja","blueditto"
"5981","Maneta","6","LOSS","JMDuran8",NA,"6-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"5991","Maneta","5","LOSS","Birikinn",NA,"4-4-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"6001","Maneta","4","LOSS","Josh Frink",NA,"6-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"6011","Maneta","3","WIN","M47cos",NA,"1-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"6021","Maneta","2","LOSS","FuryofStorm",NA,"8-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"6031","Maneta","1","WIN","Maka",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"6041","kaesus","4","LOSS","Maka",NA,"6-3-0","Starmie ex Greninja","Pikachu ex Zebstrika","blueditto"
"6051","kaesus","3","WIN","Santamarcelina",NA,"1-2-0drop","Starmie ex Greninja","Machamp ex Primeape","blueditto"
"6061","kaesus","2","LOSS","crynimar",NA,"6-4-0","Starmie ex Greninja","Pikachu ex Zebstrika","blueditto"
"6071","kaesus","1","WIN","Z2R Cogao",NA,"5-3-0drop","Starmie ex Greninja","Primeape Sandslash","blueditto"
"6081","MrFury","4","LOSS","Xeloo",NA,"9-4-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","blueditto"
"6091","MrFury","3","LOSS","bwebbuva",NA,"3-4-0drop","Pikachu ex Electrode","Charizard ex Moltres ex","blueditto"
"6101","MrFury","2","WIN","owntempo",NA,"4-3-0drop","Pikachu ex Electrode","Heatmor Ninetales","blueditto"
"6111","MrFury","1","WIN","Thiheen",NA,"5-4-0","Pikachu ex Electrode","Arbok Pidgeot","blueditto"
"6121","Thobb","5","LOSS","SonicF",NA,"4-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"6131","Thobb","4","LOSS","Pingu_Tsai",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"6141","Thobb","3","WIN","Curupira",NA,"2-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"6151","Thobb","2","LOSS","hasenowo",NA,"9-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"6161","Thobb","1","WIN","Daddycheeks",NA,"2-3-0drop","Mewtwo ex Gardevoir","Starmie ex Greninja","blueditto"
"6171","ShayminFan","6","LOSS","AnimatedEagle",NA,"5-4-0","Arcanine ex Charizard ex","Marowak ex Sandslash","blueditto"
"6181","ShayminFan","5","WIN","M47cos",NA,"1-5-0drop","Arcanine ex Charizard ex","Mewtwo ex Gardevoir","blueditto"
"6191","ShayminFan","4","LOSS","littledarkfury",NA,"4-3-0drop","Arcanine ex Charizard ex","Wigglytuff ex Weezing","blueditto"
"6201","ShayminFan","3","LOSS","KatsuJinCard",NA,"5-4-0","Arcanine ex Charizard ex","Mewtwo ex Gardevoir","blueditto"
"6211","ShayminFan","2","LOSS","Pocket_Deuces",NA,"3-0-0drop","Arcanine ex Charizard ex","Exeggutor ex Venusaur ex","blueditto"
"6221","ShayminFan","1","WIN","sleygz",NA,"0-1-0drop","Arcanine ex Charizard ex","Mewtwo ex Gardevoir","blueditto"
"6231","BelafuVGC","5","LOSS","jaHNI",NA,"4-4-0drop","Venusaur ex Caterpie","Mewtwo ex Gardevoir","blueditto"
"6241","BelafuVGC","4","LOSS","KatsuJinCard",NA,"5-4-0","Venusaur ex Caterpie","Mewtwo ex Gardevoir","blueditto"
"6251","BelafuVGC","3","LOSS","Sarson",NA,"7-3-0","Venusaur ex Caterpie","Pikachu ex Electrode","blueditto"
"6261","BelafuVGC","2","WIN","ttvStrawhat",NA,"5-4-0","Venusaur ex Caterpie","Pikachu ex Zapdos ex","blueditto"
"6271","BelafuVGC","1","WIN","Astorgames",NA,"0-1-0drop","Venusaur ex Caterpie","Pikachu ex Electrode","blueditto"
"6281","massko","6","LOSS","PeachSLP",NA,"3-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"6291","massko","5","LOSS","Bankshotbob",NA,"5-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"6301","massko","4","LOSS","NE",NA,"6-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"6311","massko","3","WIN","jaHNI",NA,"4-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"6321","massko","2","LOSS","NAMBIRI",NA,"8-4-0","Pikachu ex Electrode","Pikachu ex Zapdos ex","blueditto"
"6331","massko","1","WIN","KingBlixer",NA,"1-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"6341","Tinleigh Collins","5","LOSS","Alloutblitzle",NA,"3-4-0drop","Lapras ex","Alakazam Weezing","blueditto"
"6351","Tinleigh Collins","4","LOSS","Sigphale",NA,"6-3-0","Lapras ex","Pikachu ex Zapdos ex","blueditto"
"6361","Tinleigh Collins","3","WIN","Cheskyzz",NA,"4-3-0drop","Lapras ex","Greninja Kingler","blueditto"
"6371","Tinleigh Collins","2","WIN","Martinezn3114",NA,"0-4-0drop","Lapras ex","Arbok Pidgeot","blueditto"
"6381","Tinleigh Collins","1","LOSS","Bankshotbob",NA,"5-4-0drop","Lapras ex","Mewtwo ex Gardevoir","blueditto"
"6391","KKOYOUHENRYS","6","LOSS","namme",NA,"4-4-0drop","Exeggutor ex Wigglytuff ex","Lapras ex Starmie ex","blueditto"
"640","KKOYOUHENRYS","5","LOSS","Cumma",NA,"3-3-0drop","Exeggutor ex Wigglytuff ex","Starmie ex Greninja","blueditto"
"6411","KKOYOUHENRYS","4","LOSS","Sushikraver",NA,"4-5-0","Exeggutor ex Wigglytuff ex","Articuno ex Starmie ex","blueditto"
"6421","KKOYOUHENRYS","3","WIN","MOLINA",NA,"5-4-0","Exeggutor ex Wigglytuff ex","Articuno ex","blueditto"
"6431","KKOYOUHENRYS","2","WIN","Coreia",NA,"0-2-0drop","Exeggutor ex Wigglytuff ex","Arbok Weezing","blueditto"
"6441","KKOYOUHENRYS","1","LOSS","NoxxTCG",NA,"5-4-0","Exeggutor ex Wigglytuff ex","Articuno ex Starmie ex","blueditto"
"6451","tylerwsurface","7","LOSS","lmc131121",NA,"4-5-0","Pikachu ex Raichu","Dragonite Snorlax","blueditto"
"6471","tylerwsurface","5","LOSS","iceza066",NA,"5-4-0","Pikachu ex Raichu","Pikachu ex Zapdos ex","blueditto"
"6481","tylerwsurface","4","LOSS","Z2R Cogao",NA,"5-3-0drop","Pikachu ex Raichu","Primeape Sandslash","blueditto"
"6491","tylerwsurface","3","LOSS","FuryofStorm",NA,"8-3-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","blueditto"
"6501","tylerwsurface","2","WIN","Kibsha",NA,"1-3-0drop","Pikachu ex Raichu","Articuno ex Lapras ex","blueditto"
"6511","tylerwsurface","1","WIN","HoneybadgerV8",NA,"1-2-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","blueditto"
"6521","Goomy35","2","WIN","victini_id",NA,"6-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"6531","Goomy35","1","WIN","DrPilindio",NA,"0-2-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","blueditto"
"6541","R1nneganTCG","6","LOSS","Gonzalo Reyes",NA,"4-5-0","Mewtwo ex Gardevoir","Zapdos ex Dragonite","blueditto"
"6551","R1nneganTCG","5","LOSS","StayySuper",NA,"6-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"6561","R1nneganTCG","4","LOSS","Darffan",NA,"6-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"6571","R1nneganTCG","3","WIN","Hanzo",NA,"1-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"6581","R1nneganTCG","2","WIN","Abe",NA,"0-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"6601","Phantomclan564","5","LOSS","ttvStrawhat",NA,"5-4-0","Articuno ex Starmie ex","Pikachu ex Zapdos ex","blueditto"
"6611","Phantomclan564","4","LOSS","Artheek",NA,"6-3-0","Articuno ex Starmie ex","Articuno ex Starmie ex","blueditto"
"6621","Phantomclan564","3","LOSS","KuwabaraXL",NA,"3-4-0drop","Articuno ex Starmie ex","Pikachu ex Zebstrika","blueditto"
"6631","Phantomclan564","2","WIN","fatdunk",NA,"3-5-0drop","Articuno ex Starmie ex","Blastoise ex Lapras ex","blueditto"
"6641","Phantomclan564","1","WIN","LuizLeon",NA,"0-1-0drop","Articuno ex Starmie ex","Charizard ex Moltres ex","blueditto"
"6651","Curupira","5","LOSS","owntempo",NA,"4-3-0drop","Pikachu ex Zebstrika","Heatmor Ninetales","blueditto"
"6661","Curupira","4","WIN","kn0w",NA,"1-4-0drop","Pikachu ex Zebstrika","Lapras ex Starmie ex","blueditto"
"6671","Curupira","3","LOSS","Thobb",NA,"2-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","blueditto"
"668","Curupira","2","WIN","Azul",NA,"0-4-0drop","Pikachu ex Zebstrika","Blastoise ex","blueditto"
"669","Curupira","1","LOSS","hasenowo",NA,"9-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","blueditto"
"6701","guillehue","4","LOSS","Fitypaldis",NA,"6-2-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","blueditto"
"6711","guillehue","3","WIN","Waldmann",NA,"1-2-0drop","Charizard ex Moltres ex","Marowak ex Sandslash","blueditto"
"6721","guillehue","2","WIN","KingBlixer",NA,"1-4-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","blueditto"
"674","Daddycheeks","5","LOSS","fatdunk",NA,"3-5-0drop","Starmie ex Greninja","Blastoise ex Lapras ex","blueditto"
"6751","Daddycheeks","4","LOSS","Altkyle",NA,"4-3-0drop","Starmie ex Greninja","Mewtwo ex Gardevoir","blueditto"
"6761","Daddycheeks","3","WIN","MiniLordesushi",NA,"3-3-0drop","Starmie ex Greninja","Articuno ex","blueditto"
"6771","Daddycheeks","2","WIN","Mantelnor",NA,"0-2-0drop","Starmie ex Greninja","Golem Primeape","blueditto"
"6781","Daddycheeks","1","LOSS","Thobb",NA,"2-3-0drop","Starmie ex Greninja","Mewtwo ex Gardevoir","blueditto"
"6791","tyranitarrocks10","5","WIN","Deryl2010",NA,"0-6-0drop","Exeggutor ex Pidgeot","Articuno ex Farfetch'd","blueditto"
"6801","tyranitarrocks10","4","LOSS","Birikinn",NA,"4-4-0drop","Exeggutor ex Pidgeot","Articuno ex Starmie ex","blueditto"
"6811","tyranitarrocks10","3","WIN","Samsyh",NA,"0-4-0drop","Exeggutor ex Pidgeot","Mewtwo ex Gardevoir","blueditto"
"6821","tyranitarrocks10","2","LOSS","Raichuomega",NA,"4-4-0drop","Exeggutor ex Pidgeot","Articuno ex Starmie ex","blueditto"
"6831","tyranitarrocks10","1","LOSS","Cumma",NA,"3-3-0drop","Exeggutor ex Pidgeot","Starmie ex Greninja","blueditto"
"6841","태환 곽","5","LOSS","Slammmm",NA,"3-6-0","Mewtwo ex Gardevoir","Greninja Hypno","blueditto"
"6851","태환 곽","4","WIN","matex_kid",NA,"1-3-0drop","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"6861","태환 곽","3","WIN","Deryl2010",NA,"0-6-0drop","Mewtwo ex Gardevoir","Articuno ex Farfetch'd","blueditto"
"6871","태환 곽","2","LOSS","JMDuran8",NA,"6-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"6891","Bunni","6","LOSS","MOLINA",NA,"5-4-0","Pikachu ex Electrode","Articuno ex","blueditto"
"6901","Bunni","5","LOSS","mrtawsiti3",NA,"4-5-0","Pikachu ex Electrode","Pikachu ex Electrode","blueditto"
"6911","Bunni","4","WIN","Hanzo",NA,"1-3-0drop","Pikachu ex Electrode","Pikachu ex Zebstrika","blueditto"
"6921","Bunni","3","WIN","QuebraNozes",NA,"0-4-0drop","Pikachu ex Electrode","Marowak ex Primeape","blueditto"
"6951","Omar787","5","LOSS","Thiheen",NA,"5-4-0","Pikachu ex Raichu","Arbok Pidgeot","blueditto"
"6961","Omar787","4","WIN","niconape",NA,"1-5-0drop","Pikachu ex Raichu","Pikachu ex Raichu","blueditto"
"6971","Omar787","3","WIN","hopkins1021",NA,"0-4-0drop","Pikachu ex Raichu","Articuno ex","blueditto"
"6981","Omar787","2","LOSS","HoneybadgerV8",NA,"1-2-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","blueditto"
"6991","Omar787","1","LOSS","Santamarcelina",NA,"1-2-0drop","Pikachu ex Raichu","Machamp ex Primeape","blueditto"
"7001","Fernan","4","LOSS","Thiheen",NA,"5-4-0","Grapploct Greninja","Arbok Pidgeot","blueditto"
"702","Fernan","2","WIN","Henrique F",NA,"5-4-0","Grapploct Greninja","Machamp ex Marowak ex","blueditto"
"7031","Fernan","1","LOSS","VamP",NA,"1-1-0drop","Grapploct Greninja","Mewtwo ex Gardevoir","blueditto"
"704","rarepls","1","WIN","JMDuran8",NA,"6-3-0","Pikachu ex Zebstrika","Articuno ex Starmie ex","blueditto"
"7061","Crystallenz","2","LOSS","jlnguyen54",NA,"8-3-0","Blastoise ex Blastoise","Articuno ex","blueditto"
"7071","Crystallenz","1","WIN","StayySuper",NA,"6-3-0","Blastoise ex Blastoise","Mewtwo ex Gardevoir","blueditto"
"7081","BabyEatingBaby","3","LOSS","Bankshotbob",NA,"5-4-0drop","Articuno ex Greninja","Mewtwo ex Gardevoir","blueditto"
"7091","BabyEatingBaby","2","LOSS","RavsJK",NA,"5-4-0","Articuno ex Greninja","Starmie ex Greninja","blueditto"
"7101","BabyEatingBaby","1","WIN","Cheskyzz",NA,"4-3-0drop","Articuno ex Greninja","Greninja Kingler","blueditto"
"7111","jo_ordanv","5","LOSS","Gonzalo Reyes",NA,"4-5-0","Gengar ex Mewtwo ex","Zapdos ex Dragonite","blueditto"
"7121","jo_ordanv","4","LOSS","SonicF",NA,"4-4-0drop","Gengar ex Mewtwo ex","Pikachu ex Zebstrika","blueditto"
"7131","jo_ordanv","3","LOSS","Altkyle",NA,"4-3-0drop","Gengar ex Mewtwo ex","Mewtwo ex Gardevoir","blueditto"
"7151","jo_ordanv","1","LOSS","victini_id",NA,"6-3-0","Gengar ex Mewtwo ex","Articuno ex Starmie ex","blueditto"
"7161","Veratis08","3","LOSS","Pingu_Tsai",NA,"6-3-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","blueditto"
"7171","Veratis08","2","LOSS","Brandon J",NA,"4-2-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","blueditto"
"7181","Veratis08","1","WIN","Treinadudrys",NA,"0-2-0drop","Pikachu ex Zebstrika","Exeggutor ex Venusaur ex","blueditto"
"7191","Waldmann","3","LOSS","guillehue",NA,"2-2-0drop","Marowak ex Sandslash","Charizard ex Moltres ex","blueditto"
"7201","Waldmann","2","WIN","boltup24",NA,"0-2-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","blueditto"
"7211","Waldmann","1","LOSS","BoNalls",NA,"7-3-0","Marowak ex Sandslash","Articuno ex Greninja","blueditto"
"7221","Kibsha","4","LOSS","jaHNI",NA,"4-4-0drop","Articuno ex Lapras ex","Mewtwo ex Gardevoir","blueditto"
"723","Kibsha","3","LOSS","Darffan",NA,"6-3-0","Articuno ex Lapras ex","Mewtwo ex Gardevoir","blueditto"
"7241","Kibsha","2","LOSS","tylerwsurface",NA,"2-5-0drop","Articuno ex Lapras ex","Pikachu ex Raichu","blueditto"
"7251","Kibsha","1","WIN","MINGYULEE",NA,"5-4-0","Articuno ex Lapras ex","Charizard ex Moltres ex","blueditto"
"7261","Deomsy","3","LOSS","owntempo",NA,"4-3-0drop","Arbok Pidgeot","Heatmor Ninetales","blueditto"
"7271","Deomsy","2","LOSS","Artheek",NA,"6-3-0","Arbok Pidgeot","Articuno ex Starmie ex","blueditto"
"7281","Deomsy","1","WIN","Polygondx",NA,"0-1-0drop","Arbok Pidgeot","Pikachu ex Zebstrika","blueditto"
"729","KombatKitty","3","LOSS","Raichuomega",NA,"4-4-0drop","Ninetales Rapidash","Articuno ex Starmie ex","blueditto"
"7301","KombatKitty","2","WIN","Thiheen",NA,"5-4-0","Ninetales Rapidash","Arbok Pidgeot","blueditto"
"7311","KombatKitty","1","LOSS","iLoveQueijo",NA,"3-4-0drop","Ninetales Rapidash","Alakazam Clefable","blueditto"
"7321","Mowbes","4","LOSS","iceza066",NA,"5-4-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","blueditto"
"7331","Mowbes","3","LOSS","Cello",NA,"6-3-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","blueditto"
"7341","Mowbes","2","WIN","Rami94",NA,"0-2-0drop","Pikachu ex Zebstrika","Articuno ex Greninja","blueditto"
"7361","Santamarcelina","3","LOSS","kaesus",NA,"2-2-0drop","Machamp ex Primeape","Starmie ex Greninja","blueditto"
"737","Santamarcelina","2","LOSS","AnimatedEagle",NA,"5-4-0","Machamp ex Primeape","Marowak ex Sandslash","blueditto"
"7381","Santamarcelina","1","WIN","Omar787",NA,"2-3-0drop","Machamp ex Primeape","Pikachu ex Raichu","blueditto"
"739","KingBlixer","5","LOSS","PeachSLP",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"7401","KingBlixer","4","LOSS","StayySuper",NA,"6-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"7411","KingBlixer","3","WIN","Gonzalo Reyes",NA,"4-5-0","Mewtwo ex Gardevoir","Zapdos ex Dragonite","blueditto"
"7421","KingBlixer","2","LOSS","guillehue",NA,"2-2-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","blueditto"
"7431","KingBlixer","1","LOSS","massko",NA,"2-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","blueditto"
"7441","AaronFreckz","3","LOSS","Josh Frink",NA,"6-3-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","blueditto"
"7451","AaronFreckz","2","LOSS","Cumma",NA,"3-3-0drop","Pikachu ex Zapdos ex","Starmie ex Greninja","blueditto"
"7461","AaronFreckz","1","WIN","Arthur Mesquita",NA,"0-1-0drop","Pikachu ex Zapdos ex","Arbok Weezing","blueditto"
"7481","niconape","5","LOSS","MOLINA",NA,"5-4-0","Pikachu ex Raichu","Articuno ex","blueditto"
"7491","niconape","4","LOSS","Omar787",NA,"2-3-0drop","Pikachu ex Raichu","Pikachu ex Raichu","blueditto"
"7501","niconape","3","LOSS","NE",NA,"6-3-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","blueditto"
"751","niconape","2","WIN","lmc131121",NA,"4-5-0","Pikachu ex Raichu","Dragonite Snorlax","blueditto"
"7531","porksandwich","2","LOSS","Joseph C",NA,"6-4-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","blueditto"
"7541","porksandwich","1","WIN","Slax06",NA,"0-2-0drop","Mewtwo ex Gardevoir","Articuno ex","blueditto"
"7551","HoneybadgerV8","3","LOSS","victini_id",NA,"6-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"7561","HoneybadgerV8","2","WIN","Omar787",NA,"2-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Raichu","blueditto"
"7571","HoneybadgerV8","1","LOSS","tylerwsurface",NA,"2-5-0drop","Mewtwo ex Gardevoir","Pikachu ex Raichu","blueditto"
"7581","matex_kid","4","LOSS","태환 곽",NA,"2-3-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","blueditto"
"7591","matex_kid","3","LOSS","fatdunk",NA,"3-5-0drop","Articuno ex Starmie ex","Blastoise ex Lapras ex","blueditto"
"7601","matex_kid","2","LOSS","Sarson",NA,"7-3-0","Articuno ex Starmie ex","Pikachu ex Electrode","blueditto"
"7611","matex_kid","1","WIN","Martinezn3114",NA,"0-4-0drop","Articuno ex Starmie ex","Arbok Pidgeot","blueditto"
"7621","KoNoRd","4","LOSS","MINGYULEE",NA,"5-4-0","Charizard ex Moltres ex","Charizard ex Moltres ex","blueditto"
"7631","KoNoRd","3","LOSS","ttvStrawhat",NA,"5-4-0","Charizard ex Moltres ex","Pikachu ex Zapdos ex","blueditto"
"7641","KoNoRd","2","WIN","Filantropo",NA,"0-2-0drop","Charizard ex Moltres ex","Dugtrio Kabutops","blueditto"
"7651","KoNoRd","1","LOSS","fatdunk",NA,"3-5-0drop","Charizard ex Moltres ex","Blastoise ex Lapras ex","blueditto"
"7661","kn0w","5","LOSS","lmc131121",NA,"4-5-0","Lapras ex Starmie ex","Dragonite Snorlax","blueditto"
"7671","kn0w","4","LOSS","Curupira",NA,"2-3-0drop","Lapras ex Starmie ex","Pikachu ex Zebstrika","blueditto"
"7681","kn0w","3","WIN","santymcgoob",NA,"0-3-0drop","Lapras ex Starmie ex","Pikachu ex Raichu","blueditto"
"7691","kn0w","2","LOSS","Z2R Cogao",NA,"5-3-0drop","Lapras ex Starmie ex","Primeape Sandslash","blueditto"
"7711","James666","3","LOSS","derekroy1992",NA,"11-2-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","blueditto"
"7721","James666","2","WIN","Kiddoz",NA,"1-3-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","blueditto"
"7731","James666","1","LOSS","M47cos",NA,"1-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"7741","Jabs","4","LOSS","MiniLordesushi",NA,"3-3-0drop","Marowak ex Primeape","Articuno ex","blueditto"
"7751","Jabs","3","LOSS","iceza066",NA,"5-4-0","Marowak ex Primeape","Pikachu ex Zapdos ex","blueditto"
"776","Jabs","2","LOSS","gomess",NA,"3-5-0drop","Marowak ex Primeape","Mewtwo ex Gardevoir","blueditto"
"777","Jabs","1","WIN","glione",NA,"0-2-0drop","Marowak ex Primeape","Arbok Weezing","blueditto"
"7791","Sprohh","2","WIN","Redchicken",NA,"1-4-0drop","Pikachu ex Zapdos ex","Exeggutor ex Gardevoir","blueditto"
"7801","Sprohh","1","LOSS","Joseph C",NA,"6-4-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","blueditto"
"7811","Hanzo","4","LOSS","Bunni",NA,"2-4-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","blueditto"
"7821","Hanzo","3","LOSS","R1nneganTCG",NA,"2-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","blueditto"
"7831","Hanzo","2","LOSS","Slammmm",NA,"3-6-0","Pikachu ex Zebstrika","Greninja Hypno","blueditto"
"7841","Hanzo","1","WIN","Cello",NA,"6-3-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","blueditto"
"7851","Kiddoz","4","LOSS","Cheskyzz",NA,"4-3-0drop","Marowak ex Sandslash","Greninja Kingler","blueditto"
"7861","Kiddoz","3","WIN","Redchicken",NA,"1-4-0drop","Marowak ex Sandslash","Exeggutor ex Gardevoir","blueditto"
"787","Kiddoz","2","LOSS","James666",NA,"1-2-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","blueditto"
"7881","Kiddoz","1","LOSS","ThePrancingPonyta",NA,"3-3-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","blueditto"
"7891","Wagyu","2","LOSS","xCosmicNova",NA,"5-4-0","Articuno ex Starmie ex","Articuno ex Greninja","blueditto"
"7901","Wagyu","1","WIN","Rami94",NA,"0-2-0drop","Articuno ex Starmie ex","Articuno ex Greninja","blueditto"
"7911","VamP","2","LOSS","bwebbuva",NA,"3-4-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","blueditto"
"7921","VamP","1","WIN","Fernan",NA,"1-2-1drop","Mewtwo ex Gardevoir","Grapploct Greninja","blueditto"
"7931","wtpk14","3","LOSS","iLoveQueijo",NA,"3-4-0drop","Marowak ex Primeape","Alakazam Clefable","blueditto"
"7941","wtpk14","2","LOSS","BiterLife",NA,"4-4-0drop","Marowak ex Primeape","Mewtwo ex Gardevoir","blueditto"
"7951","wtpk14","1","WIN","HeQun",NA,"0-1-0drop","Marowak ex Primeape","Mewtwo ex Gardevoir","blueditto"
"796","Redchicken","5","LOSS","Henrique F",NA,"5-4-0","Exeggutor ex Gardevoir","Machamp ex Marowak ex","blueditto"
"797","Redchicken","4","WIN","hopkins1021",NA,"0-4-0drop","Exeggutor ex Gardevoir","Articuno ex","blueditto"
"798","Redchicken","3","LOSS","Kiddoz",NA,"1-3-0drop","Exeggutor ex Gardevoir","Marowak ex Sandslash","blueditto"
"7991","Redchicken","2","LOSS","Sprohh",NA,"1-2-0drop","Exeggutor ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"8001","Redchicken","1","LOSS","owntempo",NA,"4-3-0drop","Exeggutor ex Gardevoir","Heatmor Ninetales","blueditto"
"8011","GloriWasHere","2","LOSS","namme",NA,"4-4-0drop","Articuno ex Greninja","Lapras ex Starmie ex","blueditto"
"8021","GloriWasHere","1","WIN","boltup24",NA,"0-2-0drop","Articuno ex Greninja","Mewtwo ex Gardevoir","blueditto"
"8031","Alex A","3","LOSS","mrtawsiti3",NA,"4-5-0","Pikachu ex Zebstrika","Pikachu ex Electrode","blueditto"
"8041","Alex A","2","LOSS","poyo",NA,"3-5-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","blueditto"
"8051","Alex A","1","WIN","Savid400",NA,"0-1-0drop","Pikachu ex Zebstrika","Arbok Pidgeot","blueditto"
"8071","M47cos","5","LOSS","ShayminFan",NA,"2-4-0drop","Mewtwo ex Gardevoir","Arcanine ex Charizard ex","blueditto"
"8091","M47cos","3","LOSS","Maneta",NA,"2-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"8101","M47cos","2","LOSS","Sigphale",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"8111","M47cos","1","WIN","James666",NA,"1-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"8121","DrPilindio","2","LOSS","NE",NA,"6-3-0","Ninetales Rapidash","Mewtwo ex Gardevoir","blueditto"
"8131","DrPilindio","1","LOSS","Goomy35",NA,"2-0-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","blueditto"
"8141","HopeBringer","1","LOSS","derekroy1992",NA,"11-2-0","Dragonite Weezing","Pikachu ex Raichu","blueditto"
