"","Player","Round","Result","Opponent","PlayerDeck","OpponentDeck"
"1296","Peterolord",3,"WIN","avidgamer","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1297","Peterolord",2,"WIN","Drix","Mewtwo ex Gardevoir","Ninetales Rapidash"
"1298","Peterolord",1,"LOSS","ttvStrawhat","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1299","Guii",10,"LOSS","Jesus V","Venusaur ex Exeggutor ex","Pikachu ex Zapdos ex"
"1300","Guii",9,"LOSS","Initard","Venusaur ex Exeggutor ex","Pikachu ex Raichu"
"1301","Guii",8,"WIN","Krohnos","Venusaur ex Exeggutor ex","Marowak ex Sandslash"
"1302","Guii",7,"WIN","Xapu69","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"1303","Guii",6,"LOSS","Sigphale","Venusaur ex Exeggutor ex","Mewtwo ex Gardevoir"
"1304","Guii",5,"WIN","Teremiare","Venusaur ex Exeggutor ex","Starmie ex Articuno ex"
"1305","Guii",4,"LOSS","Dyssant","Venusaur ex Exeggutor ex","Marowak ex Sandslash"
"1306","Guii",3,"WIN","Ignacio Oyarzún A.","Venusaur ex Exeggutor ex","Marowak ex Pidgeot"
"1307","Guii",2,"WIN","ChiLLmatiC","Venusaur ex Exeggutor ex","Pikachu ex Raichu"
"1308","Guii",1,"WIN","nyxye","Venusaur ex Exeggutor ex","Charizard ex Moltres ex"
"1309","Jeudy",8,"LOSS","NerdWithASwitch","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1310","Jeudy",7,"WIN","MaximusAle","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1311","Jeudy",6,"LOSS","johnnychiou36","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1312","Jeudy",5,"WIN","yodada30","Pikachu ex Raichu","Arbok Weezing"
"1313","Jeudy",4,"WIN","alex00000","Pikachu ex Raichu","Marowak ex Dugtrio"
"1314","Jeudy",3,"WIN","Kyookey","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1315","Jeudy",2,"WIN","belmont","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1316","Jeudy",1,"WIN","Boron123","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1317","fazel",10,"LOSS","Inazashi","Starmie ex Greninja","Pikachu ex Zapdos ex"
"1318","fazel",9,"WIN","Dragfall","Starmie ex Greninja","Pikachu ex Electrode"
"1319","fazel",8,"WIN","xCosmicNova","Starmie ex Greninja","Pikachu ex Zapdos ex"
"1320","fazel",7,"LOSS","Gomttuk","Starmie ex Greninja","Pikachu ex Zapdos ex"
"1321","fazel",6,"WIN","FAKERE","Starmie ex Greninja","Charizard ex Moltres ex"
"1322","fazel",5,"WIN","Enfurno","Starmie ex Greninja","Pikachu ex Electrode"
"1323","fazel",4,"LOSS","pedrosantos","Starmie ex Greninja","Pikachu ex Zapdos ex"
"1324","fazel",3,"WIN","Ko youngmin","Starmie ex Greninja","Arbok Weezing"
"1325","fazel",2,"LOSS","TwitchTVOdinzadaTV","Starmie ex Greninja","Pikachu ex Raichu"
"1326","fazel",1,"WIN","InDragon","Starmie ex Greninja","Marowak ex Sandslash"
"1327","Folka",10,"LOSS","PIPPIKING","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"1328","Folka",9,"LOSS","Trucob ","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1329","Folka",8,"LOSS","sadgible","Mewtwo ex Gardevoir","Pikachu ex Electrode"
"1330","Folka",7,"WIN","Abizard","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1331","Folka",6,"WIN","st41in","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1332","Folka",5,"WIN","Gatos","Mewtwo ex Gardevoir","Pikachu ex Magneton"
"1333","Folka",4,"LOSS","Tenya","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1334","Folka",3,"WIN","Bombo","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"1335","Folka",2,"WIN","Racsoh","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1336","Folka",1,"WIN","BigPlanet26","Mewtwo ex Gardevoir","Pikachu ex Heliolisk"
"1337","gat0",10,"LOSS","Poloremplo","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1338","gat0",9,"LOSS","InDragon","Pikachu ex Zapdos ex","Marowak ex Sandslash"
"1339","gat0",8,"WIN","Kamell","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1340","gat0",7,"WIN","Gerrycampo","Pikachu ex Zapdos ex","Ninetales Rapidash"
"1341","gat0",6,"WIN","PeptoG","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1342","gat0",5,"WIN","Vitinn182","Pikachu ex Zapdos ex","Pikachu ex Electrode"
"1343","gat0",4,"LOSS","Numatinale","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1344","gat0",3,"LOSS","BrunoMonkey","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1345","gat0",2,"WIN","alejandritorneitos","Pikachu ex Zapdos ex","Charizard ex Moltres ex"
"1346","gat0",1,"WIN","chris89","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1347","MaximusAle",10,"LOSS","Ignacio Oyarzún A.","Pikachu ex Zapdos ex","Marowak ex Pidgeot"
"1348","MaximusAle",9,"LOSS","TDNmegane","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"1349","MaximusAle",8,"WIN","pedrosantos","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1350","MaximusAle",7,"LOSS","Jeudy","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"1351","MaximusAle",6,"WIN","OffWhiteJ1","Pikachu ex Zapdos ex","Pikachu ex Raichu"
"1352","MaximusAle",5,"WIN","Bombo","Pikachu ex Zapdos ex","Pikachu ex Zebstrika"
"1353","MaximusAle",4,"WIN","mizu27","Pikachu ex Zapdos ex","Marowak ex Golbat"
"1354","MaximusAle",3,"LOSS","koke_outon","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1355","MaximusAle",2,"WIN","Wienze","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1356","MaximusAle",1,"WIN","RamonR","Pikachu ex Zapdos ex","Ninetales Rapidash"
"1357","alejandritorneitos",10,"LOSS","Marc19","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1358","alejandritorneitos",9,"LOSS"," Bifrost","Charizard ex Moltres ex","Articuno ex"
"1359","alejandritorneitos",8,"WIN","PHANTOM_14","Charizard ex Moltres ex","Venusaur ex Exeggutor ex"
"1360","alejandritorneitos",7,"WIN","chrisotore2","Charizard ex Moltres ex","Pikachu ex Electrode"
"1361","alejandritorneitos",6,"WIN","Rulacio","Charizard ex Moltres ex","Charizard ex Moltres ex"
"1362","alejandritorneitos",5,"WIN","Fosco","Charizard ex Moltres ex","Charizard ex Moltres ex"
"1363","alejandritorneitos",4,"LOSS","행 운","Charizard ex Moltres ex","Pikachu ex Zebstrika"
"1364","alejandritorneitos",3,"WIN","Saturos","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1365","alejandritorneitos",2,"LOSS","gat0","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1366","alejandritorneitos",1,"WIN","ThePhil","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1367","Bonez",8,"LOSS","saitama","Ninetales Rapidash","Pikachu ex Zapdos ex"
"1368","Bonez",7,"WIN","Kaamix","Ninetales Rapidash","Charizard ex Moltres ex"
"1369","Bonez",6,"WIN","PsychoTropik","Ninetales Rapidash","Muk Weezing"
"1370","Bonez",5,"WIN","Mozer","Ninetales Rapidash","Mewtwo ex Gardevoir"
"1371","Bonez",4,"LOSS","Leoner","Ninetales Rapidash","Pikachu ex Zapdos ex"
"1372","Bonez",3,"WIN","SoloHGuss","Ninetales Rapidash","Starmie ex Alakazam"
"1373","Bonez",2,"WIN","Jinxamus","Ninetales Rapidash","Pikachu ex Zebstrika"
"1374","Bonez",1,"WIN","savg1000","Ninetales Rapidash","Pikachu ex Zebstrika"
"1375","Drayke",9,"LOSS","Gqqq","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1376","Drayke",8,"LOSS","sike","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1377","Drayke",7,"WIN","Jeffrey M","Pikachu ex Zapdos ex","Starmie ex Frosmoth"
"1378","Drayke",6,"WIN","Nikkiboy","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1379","Drayke",5,"WIN","BigTingz","Pikachu ex Zapdos ex","Starmie ex Articuno ex"
"1380","Drayke",4,"WIN","Crucye","Pikachu ex Zapdos ex","Pidgeot Arbok"
"1381","Drayke",3,"WIN","Matheus S","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1382","Drayke",2,"WIN","BruGno","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1383","Drayke",1,"LOSS","WanderingFlash","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1384","Abizard",10,"LOSS","Kamell","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1385","Abizard",9,"LOSS","Brandon J","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1386","Abizard",8,"WIN","SungDae","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1387","Abizard",7,"LOSS","Folka","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1388","Abizard",6,"WIN","Crushed","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"1389","Abizard",5,"WIN","Channel_Chamisuru","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1390","Abizard",4,"WIN","Alperen Özdemir","Mewtwo ex Gardevoir","Dragonite Weezing"
"1391","Abizard",3,"WIN","hasenowo","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1392","Abizard",2,"WIN","MindgamesTCG","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1393","Abizard",1,"LOSS","SirMcNugg3t","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1394","Raichuomega",9,"LOSS","Jazzz","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1395","Raichuomega",8,"LOSS","ki_mamama","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"1396","Raichuomega",7,"WIN","ffilo","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"1397","Raichuomega",6,"WIN","tilti1","Starmie ex Articuno ex","Arbok Weezing"
"1398","Raichuomega",5,"WIN","Zergui","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1399","Raichuomega",4,"WIN","NamelessQueen","Starmie ex Articuno ex","Starmie ex Frosmoth"
"1400","Raichuomega",3,"WIN","NewtonRuck","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"1401","Raichuomega",2,"LOSS","KidEX","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1402","Raichuomega",1,"WIN","LastMoney","Starmie ex Articuno ex","Alakazam Hypno"
"1403","TheReaper_619",9,"LOSS","Izaya","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1404","TheReaper_619",8,"WIN","valvind","Charizard ex Moltres ex","Marowak ex Golbat"
"1405","TheReaper_619",7,"LOSS","VS","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1406","TheReaper_619",6,"WIN","Poloremplo","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1407","TheReaper_619",5,"WIN","zezozen","Charizard ex Moltres ex","Moltres ex Centiskorch"
"1408","TheReaper_619",4,"LOSS","Lukeabbs","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1409","TheReaper_619",3,"WIN","Kaamix","Charizard ex Moltres ex","Charizard ex Moltres ex"
"1410","TheReaper_619",2,"WIN","omorimaetel","Charizard ex Moltres ex","Pikachu ex Raichu"
"1412","정우 강",10,"WIN","행 운","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"1413","정우 강",9,"LOSS","Jetblackx","Mewtwo ex Gardevoir","Arbok Weezing"
"1414","정우 강",8,"WIN","climaxx123","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"1415","정우 강",7,"LOSS","FilvisMH","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1416","정우 강",6,"WIN","mikeoandhisdoh","Mewtwo ex Gardevoir","Ninetales Rapidash"
"1417","정우 강",5,"WIN","Darffan","Mewtwo ex Gardevoir","Pikachu ex Zebstrika"
"1418","정우 강",4,"WIN","ChiLLmatiC","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"1419","정우 강",3,"LOSS","airya","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1420","정우 강",2,"LOSS","Flashkun","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"1421","정우 강",1,"WIN","Gomttuk","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1422","XwiiT",10,"LOSS","Omniceph","Exeggutor ex Alakazam","Charizard ex Moltres ex"
"1423","XwiiT",9,"WIN","Prakash","Exeggutor ex Alakazam","Greninja Lapras ex"
"1424","XwiiT",8,"LOSS","Jazzz","Exeggutor ex Alakazam","Pikachu ex Zapdos ex"
"1425","XwiiT",7,"LOSS","ItsMik3yTime","Exeggutor ex Alakazam","Charizard ex Moltres ex"
"1426","XwiiT",6,"WIN","izana2547z","Exeggutor ex Alakazam","Pikachu ex Electrode"
"1427","XwiiT",5,"WIN","행 운","Exeggutor ex Alakazam","Pikachu ex Zebstrika"
"1428","XwiiT",4,"LOSS","ShadoHound","Exeggutor ex Alakazam","Pikachu ex Zapdos ex"
"1429","XwiiT",3,"WIN","XceL2op","Exeggutor ex Alakazam","Marowak ex Sandslash"
"1430","XwiiT",2,"WIN","Tonezy","Exeggutor ex Alakazam","Alakazam Weezing"
"1431","XwiiT",1,"WIN","BORY1","Exeggutor ex Alakazam","Charizard ex Moltres ex"
"1432","Minarin",10,"LOSS","HSimpler","Starmie ex Articuno ex","Charizard ex Moltres ex"
"1433","Minarin",9,"WIN","ackerman","Starmie ex Articuno ex","Greninja Starmie ex"
"1434","Minarin",8,"WIN","st41in","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"1435","Minarin",7,"LOSS","beyond","Starmie ex Articuno ex","Marowak ex Sandslash"
"1436","Minarin",6,"WIN","Eureca","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1437","Minarin",5,"LOSS","Jade181324","Starmie ex Articuno ex","Starmie ex Articuno ex"
"1438","Minarin",4,"WIN","Yeqiu","Starmie ex Articuno ex","Alakazam"
"1439","Minarin",3,"WIN","SuL","Starmie ex Articuno ex","Pikachu ex Raichu"
"1440","Minarin",2,"LOSS","MrRishi","Starmie ex Articuno ex","Starmie ex Greninja"
"1441","Minarin",1,"WIN","PsychoTropik","Starmie ex Articuno ex","Muk Weezing"
"1442","Cello",9,"LOSS","OnlyEmbers","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1443","Cello",8,"WIN","prayos","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1444","Cello",7,"LOSS","Initard","Charizard ex Moltres ex","Pikachu ex Raichu"
"1445","Cello",6,"WIN","Gengar47","Charizard ex Moltres ex","Starmie ex Articuno ex"
"1446","Cello",5,"WIN","SirEverart","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1447","Cello",4,"LOSS","valvind","Charizard ex Moltres ex","Marowak ex Golbat"
"1448","Cello",3,"WIN","EDDY_LOKOBR","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1449","Cello",2,"WIN","Teerawish K","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1450","Cello",1,"WIN","gorani","Charizard ex Moltres ex","Alakazam Clefable"
"1451","LHh47",10,"LOSS","Sangrialll","Ninetales Rapidash","Mewtwo ex Gardevoir"
"1452","LHh47",9,"LOSS","EimanTan","Ninetales Rapidash","Charizard ex Moltres ex"
"1453","LHh47",8,"WIN","Just_Samuele","Ninetales Rapidash","Mewtwo ex Gardevoir"
"1454","LHh47",7,"WIN","Cloudam","Ninetales Rapidash","Pikachu ex Zapdos ex"
"1455","LHh47",6,"WIN","Gatos","Ninetales Rapidash","Pikachu ex Magneton"
"1456","LHh47",5,"WIN","Kelosaurus","Ninetales Rapidash","Marowak ex Primeape"
"1457","LHh47",4,"LOSS","Welc0","Ninetales Rapidash","Pikachu ex Zapdos ex"
"1458","LHh47",3,"WIN","roncetti","Ninetales Rapidash","Mewtwo ex Gardevoir"
"1459","LHh47",2,"LOSS","Fiery","Ninetales Rapidash","Wigglytuff ex Weezing"
"1460","LHh47",1,"WIN","aooo","Ninetales Rapidash","Pikachu ex Zapdos ex"
"1461","Razu_zu",10,"LOSS","akapelu","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"1462","Razu_zu",9,"WIN","Smoothie","Wigglytuff ex Weezing","Starmie ex Articuno ex"
"1463","Razu_zu",8,"LOSS","Trucob ","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"1464","Razu_zu",7,"WIN","morarlaurentiu13","Wigglytuff ex Weezing","Mewtwo ex Gardevoir"
"1465","Razu_zu",6,"WIN","Eloy204","Wigglytuff ex Weezing","Starmie ex Lapras ex"
"1466","Razu_zu",5,"WIN","belmont","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"1467","Razu_zu",4,"WIN","Helzen","Wigglytuff ex Weezing","Mewtwo ex Gardevoir"
"1468","Razu_zu",3,"LOSS","Bisca","Wigglytuff ex Weezing","Pikachu ex Zapdos ex"
"1469","Razu_zu",2,"LOSS","Louan","Wigglytuff ex Weezing","Mewtwo ex Gardevoir"
"1470","Razu_zu",1,"WIN","Sho3320","Wigglytuff ex Weezing","Charizard ex Moltres ex"
"1471","Sheedkash",10,"WIN","valvind","Pikachu ex Electrode","Marowak ex Golbat"
"1472","Sheedkash",9,"LOSS","Seung Woo Park","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"1473","Sheedkash",8,"WIN","Drix","Pikachu ex Electrode","Ninetales Rapidash"
"1474","Sheedkash",7,"WIN","13thephantom","Pikachu ex Electrode","Alakazam Gardevoir"
"1475","Sheedkash",6,"LOSS","JohnSubbi","Pikachu ex Electrode","Marowak ex Primeape"
"1476","Sheedkash",5,"WIN","Zalf","Pikachu ex Electrode","Mewtwo ex Gardevoir"
"1477","Sheedkash",4,"LOSS","vtrPeres","Pikachu ex Electrode","Pikachu ex Zapdos ex"
"1478","Sheedkash",3,"WIN","lucari","Pikachu ex Electrode","Starmie ex Articuno ex"
"1479","Sheedkash",2,"WIN","IHaeTypos","Pikachu ex Electrode","Arbok Weezing"
"1480","Sheedkash",1,"LOSS","Maka","Pikachu ex Electrode","Pikachu ex Electrode"
"1481","TheGodsEye",9,"LOSS","Tomlja","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1482","TheGodsEye",8,"WIN","Yoonie","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1483","TheGodsEye",7,"LOSS","Anomi","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1484","TheGodsEye",6,"LOSS","EEE","Pikachu ex Raichu","Pikachu ex Zebstrika"
"1485","TheGodsEye",5,"WIN","Maverick6744","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1486","TheGodsEye",4,"WIN","draloken","Pikachu ex Raichu","Dragonite Weezing"
"1487","TheGodsEye",3,"WIN","3333","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1488","TheGodsEye",2,"WIN","Lucien .SotoLamongan","Pikachu ex Raichu","Pikachu ex Zapdos ex"
"1489","TheGodsEye",1,"WIN","SynthAura","Pikachu ex Raichu","Mewtwo ex Gardevoir"
"1490","Micka",10,"WIN","TaziGamer","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"1491","Micka",9,"LOSS","Iceteailol","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"1492","Micka",8,"WIN","Gerrycampo","Pikachu ex Zebstrika","Ninetales Rapidash"
"1493","Micka",7,"WIN","barbosaa3","Pikachu ex Zebstrika","Mewtwo ex Gardevoir"
"1494","Micka",6,"WIN","Kichi","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"1495","Micka",5,"WIN","St3","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"1496","Micka",4,"LOSS","Neozyy","Pikachu ex Zebstrika","Dragonite Weezing"
"1497","Micka",3,"LOSS","Bodaum22","Pikachu ex Zebstrika","Sandslash Primeape"
"1498","Micka",2,"LOSS","YT_YoshGaming","Pikachu ex Zebstrika","Pikachu ex Zapdos ex"
"1499","Micka",1,"WIN","Johnny_Ryall","Pikachu ex Zebstrika","Ninetales Rapidash"
"1500","Brandovsk",10,"LOSS","Jzin","Mewtwo ex Gardevoir","Ninetales Rapidash"
"1501","Brandovsk",9,"WIN","PHANTOM_14","Mewtwo ex Gardevoir","Venusaur ex Exeggutor ex"
"1502","Brandovsk",8,"WIN","GTlv99","Mewtwo ex Gardevoir","Marowak ex Primeape"
"1503","Brandovsk",7,"LOSS","Kamell","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1504","Brandovsk",6,"WIN","Hayakeo","Mewtwo ex Gardevoir","Articuno ex Lapras ex"
"1505","Brandovsk",5,"LOSS","NerdWithASwitch","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1506","Brandovsk",4,"WIN","DreWooo","Mewtwo ex Gardevoir","Vileplume Exeggutor"
"1507","Brandovsk",3,"WIN","Floydonthemoon","Mewtwo ex Gardevoir","Ninetales Rapidash"
"1508","Brandovsk",2,"LOSS","Danart","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1509","Brandovsk",1,"WIN","CorruptedData","Mewtwo ex Gardevoir","Zapdos ex Jolteon"
"1510","Blak0u",10,"LOSS","TastySnacks","Mewtwo ex Gardevoir","Pikachu ex Raichu"
"1511","Blak0u",9,"WIN","Gallant","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1512","Blak0u",8,"WIN","Snowpoints","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1513","Blak0u",7,"WIN","Ytram56","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1514","Blak0u",6,"LOSS","Urikus","Mewtwo ex Gardevoir","Charizard ex Moltres ex"
"1515","Blak0u",5,"WIN","Carro11","Mewtwo ex Gardevoir","Machamp ex Onix"
"1516","Blak0u",4,"LOSS","waffle0118","Mewtwo ex Gardevoir","Alakazam Greninja"
"1517","Blak0u",3,"LOSS","valvind","Mewtwo ex Gardevoir","Marowak ex Golbat"
"1518","Blak0u",2,"WIN","pedrosantos","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1519","Blak0u",1,"WIN","Nidha","Mewtwo ex Gardevoir","Arbok Weezing"
"1520","Chikonina25",10,"WIN","ackerman","Gardevoir Mewtwo ex","Greninja Starmie ex"
"1521","Chikonina25",9,"WIN","ventuswiingbladettv","Gardevoir Mewtwo ex","Pikachu ex Zapdos ex"
"1522","Chikonina25",8,"LOSS","arajacha","Gardevoir Mewtwo ex","Mewtwo ex Gardevoir"
"1523","Chikonina25",7,"WIN","kn0w","Gardevoir Mewtwo ex","Dragonite Jolteon"
"1524","Chikonina25",6,"LOSS","Hideout","Gardevoir Mewtwo ex","Pikachu ex Zapdos ex"
"1525","Chikonina25",5,"WIN","ttvLyFeSnipa","Gardevoir Mewtwo ex","Marowak ex Primeape"
"1526","Chikonina25",4,"WIN","XrossHeart","Gardevoir Mewtwo ex","Charizard ex Moltres ex"
"1527","Chikonina25",3,"LOSS","Zergui","Gardevoir Mewtwo ex","Pikachu ex Zapdos ex"
"1528","Chikonina25",2,"WIN","Jesus V","Gardevoir Mewtwo ex","Pikachu ex Zapdos ex"
"1530","Jade181324",9,"LOSS","Zeville","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1531","Jade181324",8,"WIN","DarkasakuraV9","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1532","Jade181324",7,"WIN","Ghmp","Starmie ex Articuno ex","Mewtwo ex Gardevoir"
"1533","Jade181324",6,"LOSS","Kanowki","Starmie ex Articuno ex","Pikachu ex Zapdos ex"
"1534","Jade181324",5,"WIN","Minarin","Starmie ex Articuno ex","Starmie ex Articuno ex"
"1535","Jade181324",4,"LOSS","VRSancheti","Starmie ex Articuno ex","Marowak ex Sandslash"
"1536","Jade181324",3,"WIN","mizu27","Starmie ex Articuno ex","Marowak ex Golbat"
"1537","Jade181324",2,"WIN","jayflackoz","Starmie ex Articuno ex","Venusaur ex Exeggutor ex"
"1538","Jade181324",1,"WIN","dont_eat_me","Starmie ex Articuno ex","Ninetales Rapidash"
"1539","MartimX10",10,"LOSS","Just_Samuele","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1540","MartimX10",9,"WIN","Goose91","Pikachu ex Zapdos ex","Ninetales Rapidash"
"1541","MartimX10",8,"LOSS","jh0630","Pikachu ex Zapdos ex","Exeggutor ex Victreebel"
"1542","MartimX10",7,"WIN","Amthenew","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1543","MartimX10",6,"WIN","BigB123","Pikachu ex Zapdos ex","Arbok Weezing"
"1544","MartimX10",5,"WIN","ventuswiingbladettv","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex"
"1545","MartimX10",4,"LOSS","tilti1","Pikachu ex Zapdos ex","Arbok Weezing"
"1546","MartimX10",3,"WIN","i9mha","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1547","MartimX10",2,"WIN","Arctica3","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir"
"1549","waftage",10,"LOSS","locowaffl3","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1550","waftage",9,"LOSS","KidEX","Charizard ex Moltres ex","Pikachu ex Zapdos ex"
"1551","waftage",8,"WIN","pogi","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1552","waftage",7,"WIN","Lukeabbs","Charizard ex Moltres ex","Mewtwo ex Gardevoir"
"1553","waftage",6,"WIN","dont_eat_me","Charizard ex Moltres ex","Ninetales Rapidash"
"1554","waftage",5,"WIN","savg1000","Charizard ex Moltres ex","Pikachu ex Zebstrika"
"1555","waftage",4,"LOSS","Zaky","Charizard ex Moltres ex","Pikachu ex Electrode"
"1556","waftage",3,"WIN","davenznk","Charizard ex Moltres ex","Pikachu ex Zebstrika"
"1557","waftage",2,"LOSS","yungmung69","Charizard ex Moltres ex","Blastoise ex Tentacruel"
"1558","waftage",1,"WIN","AaronFreckz","Charizard ex Moltres ex","Zapdos ex Pikachu ex"
"1559","Bolamon",10,"LOSS","Seung Woo Park","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1560","Bolamon",9,"LOSS","RealAsMike","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1561","Bolamon",8,"WIN","Novastence","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1562","Bolamon",7,"WIN","Gengar47","Mewtwo ex Gardevoir","Starmie ex Articuno ex"
"1563","Bolamon",6,"WIN","Alytreta","Mewtwo ex Gardevoir","Marowak ex Primeape"
"1564","Bolamon",5,"WIN","Krys","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1565","Bolamon",4,"LOSS","Channel_Chamisuru","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
"1566","Bolamon",3,"WIN","yokaru","Mewtwo ex Gardevoir","Marowak ex Primeape"
"1567","Bolamon",2,"WIN","Nook","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex"
"1568","Bolamon",1,"LOSS","Chrisotore8","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir"
